Node;Degree;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;X_Coord;Y_Coord
176;3;0.016853932584269662;0.04050022217990224;0.0008445644374183053;970.2;169.15
168;3;0.016853932584269662;0.03332698533612645;0.0007233032023572712;826.6;156.23
103;4;0.02247191011235955;0.1420046975179331;0.0007278091840479473;1464.2;151.92
31;1;0.0056179775280898875;0.0;0.0006810457240535606;1558.98;147.61
135;3;0.016853932584269662;0.022091030279946678;0.0007199497015958342;364.91;139.71
118;3;0.016853932584269662;0.024185869358217482;0.000712308838877431;244.28;131.1
171;3;0.016853932584269662;0.011235955056179775;0.0006682039830488468;938.61;126.07
46;1;0.0056179775280898875;0.0;0.0006203514391832062;865.37;186.38
175;3;0.016853932584269662;0.03262870564336952;0.0008158488723308928;960.15;117.45
64;3;0.016853932584269662;0.017012632514441694;0.0007998847260057694;1119.55;113.14
127;3;0.016853932584269662;0.012759474385831271;0.0007008634033126306;311.77;108.12
52;4;0.02247191011235955;0.023614549609598173;0.0008057084632924676;1029.08;95.91
101;3;0.016853932584269662;0.1079794324890497;0.0006951759030945506;1439.79;82.99
62;3;0.016853932584269662;0.01637783279375357;0.0007941467522486083;1109.5;81.55
72;3;0.016853932584269662;0.022408430140290737;0.000562161133630923;1168.37;70.06
17;1;0.0056179775280898875;0.0;0.0005469946478288447;1187.04;116.02
167;3;0.016853932584269662;0.0;0.0006709461709212467;789.26;54.27
99;3;0.016853932584269662;0.06582873103535834;0.0006807822685925616;1426.86;52.83
152;3;0.016853932584269662;0.03218434583888783;0.0007453746792885685;615.5;51.39
110;2;0.011235955056179775;0.022344950168221925;0.0006378041117054666;1560.41;37.03
88;3;0.016853932584269662;0.044372500476099794;0.0006021199041132036;1278.95;19.8
42;1;0.0056179775280898875;0.0;0.000562851077865743;6.61;2.57
34;1;0.0056179775280898875;0.0;0.0006498120168308147;200.48;2.57
37;1;0.0056179775280898875;0.0;0.0006500339386006032;273.72;2.57
20;1;0.0056179775280898875;0.0;0.0005954640537746808;1271.77;2.57
109;2;0.011235955056179775;0.011235955056179775;0.0006234150290173184;1547.49;2.57
24;1;0.0056179775280898875;0.0;0.0005914404486806;1464.2;28.42
11;1;0.0056179775280898875;0.0;0.0007469748445171756;1001.07;1.85
13;1;0.0056179775280898875;0.0;0.0007456421372566117;1088.67;1.85
47;1;0.0056179775280898875;0.0;0.0007422571309772638;924.96;0.42
49;1;0.0056179775280898875;0.0;0.000602567729992325;97.09;-0.3
41;1;0.0056179775280898875;0.0;0.0007164375831533734;598.26;-0.3
22;1;0.0056179775280898875;0.0;0.00065615979587202;1411.07;-0.3
15;1;0.0056179775280898875;0.0;0.0005385453016659207;1136.78;-1.74
83;4;0.02247191011235955;0.20154891131847902;0.0008134948551925503;1233.27;1297.52
12;1;0.0056179775280898875;0.0;0.0006172032642826549;1054.41;1557.77
14;1;0.0056179775280898875;0.0;0.0006332871599751422;1106.11;1559.21
16;1;0.0056179775280898875;0.0;0.0006602984673119332;1172.17;1559.21
18;1;0.0056179775280898875;0.0;0.0006767793745393074;1212.38;1560.64
45;1;0.0056179775280898875;0.0;0.000614087317552463;818.9;1562.08
59;4;0.02247191011235955;0.13127658223830382;0.0009035440301396704;1088.85;1020.9
