Node1;Node2;Length_of_Edge;Edge_Betweenness_Centrality_Weighted
175;52;76.3929;0.01990132106239437
175;47;122.2114;0.011173184357541898
64;62;33.1537;0.0076499547154245525
127;37;112.2;0.011173184357541898
52;62;86.2048;0.01965529919205144
52;11;98.1408;0.011173184357541898
101;99;32.8098;0.0755759211600025
101;110;133.1344;0.03314292888079844
62;13;82.3756;0.011173184357541898
72;17;49.6007;0.011173184357541898
72;88;121.4625;0.03314292888079844
72;15;78.4453;0.011173184357541898
99;88;202.1199;0.05461050781495198
99;22;55.432;0.011173184357541898
152;41;54.494;0.011173184357541898
110;109;36.8087;0.022220827317808046
88;20;18.6686;0.011173184357541898
109;24;87.2094;0.011173184357541898
